instant,Date,Season,Year,Month,Holiday,Weekday,Workingday,Weather,Temp,Atemp,Humidity,Windspeed,Casual,Registered,Total Rented,NormTemp,NormAtemp,NormHum,NormWindspeed
1,01/01/11,Spring,2011,1,0,Saturday,0,Mist/Cloudy,14.110847,18.18125,80.5833,10.749882,331,654,985,0.344167,0.363625,0.805833,0.160446
2,02/01/11,Spring,2011,1,0,Sunday,0,Mist/Cloudy,14.902598,17.68695,69.6087,16.652113,131,670,801,0.363478,0.353739,0.696087,0.248539
3,03/01/11,Spring,2011,1,0,Monday,1,Clear/Partly Cloudy,8.050924,9.47025,43.7273,16.636703,120,1229,1349,0.196364,0.189405,0.437273,0.248309
4,04/01/11,Spring,2011,1,0,Tuesday,1,Clear/Partly Cloudy,8.2,10.6061,59.0435,10.739832,108,1454,1562,0.2,0.212122,0.590435,0.160296
5,05/01/11,Spring,2011,1,0,Wednesday,1,Clear/Partly Cloudy,9.305237,11.4635,43.6957,12.5223,82,1518,1600,0.226957,0.22927,0.436957,0.1869
6,06/01/11,Spring,2011,1,0,Thursday,1,Clear/Partly Cloudy,8.378268,11.66045,51.8261,6.0008684,88,1518,1606,0.204348,0.233209,0.518261,0.0895652
7,07/01/11,Spring,2011,1,0,Friday,1,Mist/Cloudy,8.057402,10.44195,49.8696,11.304642,148,1362,1510,0.196522,0.208839,0.498696,0.168726
8,08/01/11,Spring,2011,1,0,Saturday,0,Mist/Cloudy,6.765,8.1127,53.5833,17.875868,68,891,959,0.165,0.162254,0.535833,0.266804
9,09/01/11,Spring,2011,1,0,Sunday,0,Clear/Partly Cloudy,5.671653,5.80875,43.4167,24.25065,54,768,822,0.138333,0.116175,0.434167,0.36195
10,10/01/11,Spring,2011,1,0,Monday,1,Clear/Partly Cloudy,6.184153,7.5444,48.2917,14.958889,41,1280,1321,0.150833,0.150888,0.482917,0.223267
11,11/01/11,Spring,2011,1,0,Tuesday,1,Mist/Cloudy,6.932731,9.5732,68.6364,8.182844,43,1220,1263,0.169091,0.191464,0.686364,0.122132
12,12/01/11,Spring,2011,1,0,Wednesday,1,Clear/Partly Cloudy,7.081807,8.02365,59.9545,20.410009,25,1137,1162,0.172727,0.160473,0.599545,0.304627
13,13/01/11,Spring,2011,1,0,Thursday,1,Clear/Partly Cloudy,6.765,7.54415,47.0417,20.167,38,1368,1406,0.165,0.150883,0.470417,0.301
14,14/01/11,Spring,2011,1,0,Friday,1,Clear/Partly Cloudy,6.59567,9.42065,53.7826,8.478716,54,1367,1421,0.16087,0.188413,0.537826,0.126548
15,15/01/11,Spring,2011,1,0,Saturday,0,Mist/Cloudy,9.566653,12.4056,49.875,10.583521,222,1026,1248,0.233333,0.248112,0.49875,0.157963
16,16/01/11,Spring,2011,1,0,Sunday,0,Clear/Partly Cloudy,9.498347,11.71085,48.375,12.625011,251,953,1204,0.231667,0.234217,0.48375,0.188433
17,17/01/11,Spring,2011,1,1,Monday,0,Mist/Cloudy,7.209153,8.83855,53.75,12.999139,117,883,1000,0.175833,0.176771,0.5375,0.194017
18,18/01/11,Spring,2011,1,0,Tuesday,1,Mist/Cloudy,8.883347,11.61665,86.1667,9.833925,9,674,683,0.216667,0.232333,0.861667,0.146775
